group	QS	c-di-GMP	AHLs	AI-2	DSF	AHKs	PQS
Proteobacteria	60.69566743	64.76343685	61.16772931	58.47887628	53.71960509	80.01710253	99.77159908
Bacteroidetes	18.23270357	13.78544869	20.32289054	8.941308326	24.25231518	19.18424987	0
Actinobacteria	7.592862096	7.52196506	8.493584365	9.935706145	9.569853886	0.360740841	0.228400921
Firmicutes	4.632878924	4.89345483	3.05852079	10.98285297	3.353116331	0.437906763	0
Planctomycetes	2.97978062	3.229647091	2.34061894	6.085371311	5.298734402	0	0
Chloroflexi	1.390032719	1.458791749	1.418759469	1.349328889	0.612047525	0	0
Acidobacteria	1.107030408	1.199752143	0.997659046	0	1.363957945	0	0
Spirochaetae	0.950147662	1.031832889	0.102056622	0.269436854	0.111245525	0	0
Verrucomicrobia	0.823060989	0.422759088	0.94157331	1.099922641	0.090032337	0	0
Nitrospirae	0.504969785	0.548382586	0.62237906	1.643757046	1.0067219	0	0
Fusobacteria	0.207783452	0.209354399	0.064854226	0.677753302	0	0	0
Gemmatimonadetes	0.19815482	0.215190405	0	0	0.395559208	0	0
Chlamydiae	0.162892108	0.176896119	0.197146496	0	0	0	0
Deferribacteres	0.083951448	0.091168845	0	0	0.162173698	0	0
Others	0.438083968	0.45191926	0.272227821	0.53568623	0.064636972	0	0
