from	to
Yersinia	Syntrophus
Yersinia	Ferruginibacter
Yersinia	Halomonas
Yersinia	Sphingomonas
Yersinia	Bacteroides
Yersinia	Acinetobacter
Yersinia	Flavobacterium
Yersinia	Candidatus Microthrix
Yersinia	Aeromonas
Yersinia	Bifidobacterium
Yersinia	Comamonas
Yersinia	Megasphaera
Yersinia	Haliscomenobacter
Yersinia	Dokdonella
Yersinia	Hyphomicrobium
Yersinia	Thauera
Yersinia	Filimonas
Yersinia	Lautropia
Yersinia	Haliangium
Yersinia	Desulfovibrio
Yersinia	Devosia
Yersinia	Amaricoccus
Yersinia	Nitrospira
Yersinia	Methylotenera
Yersinia	Simplicispira
Yersinia	Faecalibacterium
Yersinia	Pseudomonas
Yersinia	Diaphorobacter
Yersinia	Paludibacter
Yersinia	Zymomonas
Yersinia	Prosthecobacter
Yersinia	Rhodobacter
Yersinia	Variovorax
Yersinia	Sediminibacterium
Yersinia	Opitutus
Yersinia	Dechloromonas
Yersinia	Thermomonas
Yersinia	Gemmata
Yersinia	Hydrogenophaga
Yersinia	Candidatus Accumulibacter
Yersinia	Aquabacterium
Yersinia	Sandaracinus
Yersinia	Tetrasphaera
Yersinia	Ottowia
Yersinia	Dongia
Yersinia	Hahella
Yersinia	Nitrosomonas
Yersinia	Raoultella
Yersinia	Acidovorax
Yersinia	Sulfuritalea
Yersinia	Klebsiella
Yersinia	Massilia
Yersinia	Sorangium
Yersinia	Chryseobacterium
Yersinia	Xylophilus
Yersinia	Desulfomicrobium
Yersinia	Bryobacter
Yersinia	Roseiflexus
Yersinia	Enterococcus
Yersinia	Enterobacter
Yersinia	Arenimonas
Yersinia	Rhodoferax
Yersinia	Bdellovibrio
Yersinia	Phenylobacterium
Yersinia	Taibaiella
Yersinia	Streptococcus
Yersinia	Novosphingobium
Yersinia	Polaromonas
Yersinia	Roseomonas
Yersinia	Fluviicola
Yersinia	Acidocella
Yersinia	Hirschia
Yersinia	Azoarcus
Yersinia	Stenotrophomonas
Yersinia	Runella
Yersinia	Pedobacter
Yersinia	Tolumonas
Yersinia	Acidiferrobacter
Yersinia	Reyranella
Yersinia	Rhizobium
Yersinia	Thiothrix
Yersinia	Aquimonas
Yersinia	Holdemanella
Yersinia	Parvularcula
Yersinia	Bacteriovorax
Yersinia	Moraxella
Yersinia	Pseudorhodoferax
Yersinia	Parachlamydia
Yersinia	Rhizobacter
Yersinia	Lewinella
Yersinia	Nocardioides
Yersinia	Zoogloea
Yersinia	Mycobacterium
Yersinia	Pirellula
Yersinia	Gordonia
Yersinia	Simiduia
Yersinia	Blautia
Yersinia	Turicibacter
Yersinia	Bacillus
Yersinia	Phreatobacter
Yersinia	Anaerostipes
Yersinia	Candidatus Competibacter
Yersinia	Limnobacter
Yersinia	Labrys
Yersinia	Chitinophaga
Yersinia	Gemmobacter
Yersinia	Giesbergeria
Yersinia	Anaerolinea
Yersinia	Dysgonomonas
Yersinia	Granulosicoccus
Yersinia	Sphingobium
Yersinia	Laribacter
Yersinia	Rubellimicrobium
Yersinia	Sulfurovum
Yersinia	Nitratireductor
Yersinia	Cellvibrio
Yersinia	Marmoricola
Yersinia	Bradyrhizobium
Yersinia	Flavihumibacter
Yersinia	Aquicella
Yersinia	Sphaerotilus
Yersinia	Anaerotruncus
Yersinia	Legionella
Yersinia	Defluviicoccus
Yersinia	Fusicatenibacter
Yersinia	Acidaminococcus
Yersinia	Altererythrobacter
Yersinia	Variibacter
Yersinia	Janibacter
Yersinia	Phascolarctobacterium
Yersinia	Staphylococcus
Yersinia	Dialister
Yersinia	Pseudoxanthomonas
Yersinia	Actinomyces
Yersinia	Alistipes
Yersinia	Azonexus
Yersinia	Burkholderia
Yersinia	Desulfuromonas
Yersinia	Noviherbaspirillum
Yersinia	Achromobacter
Yersinia	Leptothrix
Yersinia	Ramlibacter
Yersinia	Lysobacter
Yersinia	Nakamurella
Yersinia	Brevundimonas
Yersinia	Methylibium
Yersinia	Lachnospira
Yersinia	Defluviimonas
Yersinia	Coxiella
Yersinia	Hyphomonas
Yersinia	Curvibacter
Yersinia	Collinsella
Yersinia	Lactococcus
Yersinia	Sarcina
Yersinia	Shinella
Yersinia	Arthrobacter
Yersinia	Enterorhabdus
Yersinia	Roseimicrobium
Yersinia	Methylobacterium
Yersinia	Candidatus Nitrotoga
Yersinia	Elstera
Yersinia	Sedimentibacter
Yersinia	Methylocaldum
Yersinia	Candidatus Solibacter
Yersinia	Paenibacillus
Yersinia	Vitreoscilla
Yersinia	Lachnoclostridium
Yersinia	Limnohabitans
Yersinia	Rhizomicrobium
Yersinia	Cupriavidus
Yersinia	Ensifer
Yersinia	Deinococcus
Yersinia	Methylocystis
Yersinia	Delftia
Yersinia	Ruminiclostridium
Yersinia	Anaeromyxobacter
Yersinia	Cytophaga
Yersinia	Rhodoplanes
Yersinia	Barnesiella
Yersinia	Pseudorhodobacter
Yersinia	Methyloversatilis
Yersinia	Lysinibacillus
Yersinia	Herpetosiphon
Yersinia	Janthinobacterium
Yersinia	Parabacteroides
Yersinia	Modestobacter
Yersinia	Roseburia
Yersinia	Geobacter
Yersinia	Brevibacillus
Yersinia	Denitromonas
Yersinia	Desulfobacter
Yersinia	Rhodomicrobium
Yersinia	Xanthomonas
Yersinia	Sphingopyxis
Yersinia	Parasutterella
Yersinia	Chloroflexus
Yersinia	Pleomorphomonas
Yersinia	Caulobacter
Yersinia	Formivibrio
Yersinia	Neisseria
Yersinia	Afipia
Yersinia	Acetobacterium
Yersinia	Desulfobulbus
Yersinia	Bosea
Yersinia	Ideonella
Yersinia	Chthoniobacter
Yersinia	Prolixibacter
Yersinia	Leucobacter
Yersinia	Nitrosococcus
Yersinia	Sutterella
Yersinia	Tahibacter
Yersinia	Microbacter
Yersinia	Marinoscillum
Yersinia	Rhodopseudomonas
Yersinia	Tumebacillus
Yersinia	Rhodopirellula
Yersinia	Anaerobacillus
Yersinia	Rhodococcus
Yersinia	Veillonella
Yersinia	Cryobacterium
Yersinia	Lactobacillus
Yersinia	Dietzia
Yersinia	Oceanobacter
Yersinia	Methylomonas
Yersinia	Leptospira
Yersinia	Pseudolabrys
Yersinia	Chelatococcus
Yersinia	Reichenbachiella
Yersinia	Anaeromyxobacter dehalogenans
