AHLs	DSF	AI-2
19.85783	1.70273	19.85783
1.89937	8.32567	2.84363
2.84363	2.63033	1.49127
1.83059	0.90698	2.63033
1.59208	6.20247	2.76495
1.49127	1.20159	1.12933
2.63033	2.22931	1.58287
1.56799	10.56114	1.6022
2.76495	0.76662	3.57322
3.37428	3.14451	1.3986
1.4902	3.50109	2.87105
1.65564	3.38982	2.44978
1.53842	4.96657	1.67037
1.12933	3.36639	5.50402
1.13334	1.23555	0.90698
2.03023	5.29083	2.88813
1.92895	2.76667	4.03596
1.19467	9.24654	2.22931
2.17426	3.26459	4.96657
1.6022	14.72238	8.40801
1.76489	19.85783	2.31684
1.94798	17.19011	2.16858
1.20159	1.12933	2.13322
1.3986	0.96707	1.80319
2.36266	4.23699	2.59764
1.21295	1.13334	2.31485
0.9315	1.66902	1.66897
1.86838	10.37805	5.36216
1.84581	4.2765	1.97126
1.83475	1.83475	2.60219
1.24344	7.31505	2.54641
1.64502	2.59764	9.69947
2.44978		2.27694
2.00235		6.22905
5.50402		3.41228
1.57286		2.69426
1.66889		9.4021
6.47002		8.91638
0.90698		7.31505
2.10379		10.67479
2.26826		4.30351
1.48247		6.79035
3.62417		8.19838
4.03596		10.36118
1.50839		24.33105
2.22931		17.19011
1.85603		10.59508
1.81159		10.06517
1.23555		34.42383
2.93207		15.3688
4.96657		34.42383
1.7299		4.07657
2.73286		2.07158
8.40801		9.97649
2.76667		17.19011
2.65962		17.19011
2.70688		3.89843
1.75332		4.9559
1.69513		15.15037
1.64261		
10.56114		
3.49592		
5.02062		
3.49562		
1.80319		
2.59764		
2.12377		
4.99323		
1.86494		
3.88802		
3.97214		
4.42722		
3.78142		
3.98202		
2.12039		
2.2472		
2.66979		
7.21392		
2.04111		
13.88683		
9.768		
3.36639		
5.29083		
2.54641		
9.69947		
2.27694		
6.22905		
3.38982		
3.8046		
4.69891		
3.26459		
9.63342		
6.20247		
4.06768		
5.61478		
5.62505		
4.23699		
5.55662		
4.51597		
7.27353		
6.23564		
10.55884		
5.40509		
4.40175		
4.2765		
3.47762		
5.48757		
9.80969		
3.14451		
7.31505		
6.64262		
7.61157		
5.30592		
11.6467		
7.38144		
8.13703		
11.88712		
11.43336		
6.99896		
20.97781		
5.15735		
8.19838		
21.06088		
4.29269		
12.59963		
16.2001		
16.28308		
7.80016		
10.33529		
8.03911		
7.0155		
15.68327		
17.19011		
11.29951		
10.59508		
10.06517		
17.19011		
22.81715		
18.1916		
19.85783		
14.72238		
15.3688		
34.42383		
24.33105		
34.42383		
17.19011		
