Degree in QS	Closness centrality
161	0.46413
68	0.53488
180	0.56403
105	0.40116
180	0.52672
44	0.48478
44	0.58146
5	0.62918
61	0.4964
105	0.4976
6	0.47368
31	0.43215
31	0.53766
104	0.35085
44	0.51493
44	0.34443
7	0.51493
5	0.56098
68	0.54762
79	0.58146
31	0.59654
31	0.49403
44	0.40509
5	0.42073
156	0.48252
99	0.54331
79	0.52405
117	0.51493
44	0.55645
68	0.55496
44	0.35875
68	0.45395
72	0.56403
72	0.57821
72	0.62727
68	0.47917
44	0.47046
155	0.5
155	0.56712
155	0.56403
61	0.53766
44	0.59654
106	0.55348
68	0.56557
44	0.42331
106	0.54047
72	0.61062
31	0.54189
122	0.58475
147	0.4976
83	0.53351
44	0.5625
44	0.55645
89	0.57341
68	0.58146
44	0.4964
180	0.57983
68	0.50735
44	0.48252
89	0.49052
89	0.52141
44	0.55795
145	0.47046
16	0.57341
106	0.42159
44	0
88	0.39731
69	0.61424
17	0.33441
44	0.50611
87	0.4814
44	0.38983
68	0.55645
157	0.54617
128	0.35385
31	0.57821
100	0.53488
128	0.61062
29	0.5201
44	0.5864
44	0.54762
44	0.36252
44	0.53213
44	0.34385
67	0.57341
19	0.29656
86	0.54474
44	0.552
140	0.5
44	0.61062
104	0.59827
155	0.55645
44	0.55053
68	0.47586
68	0.45595
61	0.51493
61	0.57341
67	0.62349
68	0.54762
68	0.46413
67	0.50985
98	0.5625
132	0.48592
86	0.51111
31	0.50121
104	0.47153
114	0.57025
35	0.46309
97	0.57983
97	0.52405
68	0.50121
68	0.56868
44	0.47368
61	0.54047
61	0.51111
44	0.48936
184	0.53766
78	0.5766
79	0.46102
44	0.34966
151	0.6035
44	0.57983
133	0.51238
41	0.4964
57	0.59143
42	0.59483
56	0.56712
44	0.45098
98	0.552
106	0.55795
82	0.46413
44	0.53351
68	0.54617
31	0.50611
26	0.56557
68	0.61062
99	0.55795
68	0.56712
68	0.59483
68	0.62162
72	0.56868
44	0.41734
142	0.54762
54	0.50121
126	0.5175
44	0.56712
148	0.6
137	0.47477
68	0.50121
37	0.56712
31	0.57341
143	0.56868
68	0.49169
148	0.5625
106	0.56098
50	0.61976
68	0.51493
50	0.58475
31	0.39279
31	0.5086
68	0.56868
44	0.48821
50	0.61062
51	0.52141
49	0.57983
49	0.5201
49	0.53906
31	0.28473
121	0.50735
44	0.50611
44	0.575
55	0.56098
44	0.47696
44	0.3569
186	0.5201
102	0.55348
57	0.5766
44	0.53351
45	0.54474
44	0.40828
99	0.63303
124	0.54331
143	0.53766
162	0.46309
80	0.51365
44	0.54189
43	0.4964
62	0.6035
64	0.56098
68	0.50611
43	0.36702
43	0.59654
68	0.53077
190	0.56557
60	0.34907
42	0.53627
63	0.58475
192	0.55946
44	0.36637
68	0.42073
101	0.52806
44	0.52273
156	0.57821
68	0.55946
67	0.57341
79	0.52405
44	0.53351
68	0.575
143	0.48365
