target	source	value
c-di-GMP	Proteobacteria	253
AHLs	Proteobacteria	250
AHLs	Actinobacteria	60
c-di-GMP	Firmicutes	60
AHLs	Bacteroidetes	59
AHLs	Firmicutes	59
c-di-GMP	Actinobacteria	53
AI-2	Proteobacteria	16
DSF	Actinobacteria	12
AHLs	Planctomycetes	8
AHLs	Acidobacteria	8
AHLs	Chloroflexi	7
c-di-GMP	Bacteroidetes	7
c-di-GMP	Spirochaetae	5
c-di-GMP	Acidobacteria	3
PQS	Proteobacteria	3
c-di-GMP	Chloroflexi	2
PQS	Actinobacteria	2
PQS	Firmicutes	2
AHLs	Verrucomicrobia	1
AHLs	Spirochaetae	1
c-di-GMP	Planctomycetes	1
c-di-GMP	Fibrobacteres	1
AI-2	Firmicutes	1
AI-2	Chloroflexi	1
AI-2	Spirochaetae	1
DSF	Bacteroidetes	1
DSF	Chloroflexi	1
PQS	Bacteroidetes	1
Arcobacter	AHLs	30
Ferruginibacter	AHLs	30
Candidatus Microthrix	AHLs	30
Bdellovibrio	AHLs	30
Hydrotalea	AHLs	30
Extensimonas	AHLs	30
Sandaracinus	AHLs	30
Terrimonas	AHLs	30
Arcobacter	c-di-GMP	30
Ferruginibacter	c-di-GMP	30
Pseudomonas	c-di-GMP	30
Candidatus Microthrix	c-di-GMP	30
Haliangium	c-di-GMP	30
Pseudomonas	PQS	30
