group	QQ	c-di-GMP	AHLs	AI-2	DSF	PQS
Proteobacteria	61.26306597	68.89814162	56.31007178	86.93672158	0	63.77761492
Bacteroidetes	22.88942009	12.2138519	27.24958642	0	41.93477883	20.46053517
Actinobacteria	6.939557615	9.717401043	7.017115883	0	47.74779534	14.77388746
Firmicutes	3.374946492	4.691724905	2.806462301	0.643361242	0	0.987962452
Planctomycetes	2.015104278	1.364240584	2.529134311	0	0	0
Chloroflexi	1.18081234	0.502267759	1.48202405	10.06057828	10.31742583	0
Acidobacteria	0.89558991	1.17087732	1.124044643	0	0	0
Verrucomicrobia	0.559511804	0	0.051988816	0	0	0
Spirochaetae	0.10261605	0.15176254	0.077519671	1.831315591	0	0
Fibrobacteres	0.061075603	0.099155319	0	0	0	0
Gemmatimonadetes	0.058317869	0	0.275639129	0	0	0
Nitrospirae	0.041422428	0.827481983	0.701532922	0	0	0
Latescibacteria	0.029294282	0	0.02235125	0.528023303	0	0
Deferribacteres	0	0.000172924	0.113008156	0	0	0
Others	0.589265267	0.362922104	0.239520668	0	0	0
