from		to				AI-2
Yersinia	;	Halomonas	Yersinia;Halomonas			Yersinia;Halomonas
Yersinia	;	Acinetobacter	Yersinia;Acinetobacter			Yersinia;Acinetobacter
Yersinia	;	Aeromonas	Yersinia;Aeromonas			Yersinia;Aeromonas
Yersinia	;	Desulfovibrio	Yersinia;Desulfovibrio			Yersinia;Desulfovibrio
Yersinia	;	Nitrospira	Yersinia;Nitrospira			Yersinia;Nitrospira
Yersinia	;	Pseudomonas	Yersinia;Pseudomonas			Yersinia;Pseudomonas
Yersinia	;	Rhodobacter	Yersinia;Rhodobacter			Yersinia;Rhodobacter
Yersinia	;	Opitutus	Yersinia;Opitutus			Yersinia;Opitutus
Yersinia	;	Raoultella	Yersinia;Raoultella			Yersinia;Raoultella
Yersinia	;	Klebsiella	Yersinia;Klebsiella			Yersinia;Klebsiella
Yersinia	;	Enterococcus	Yersinia;Enterococcus			Yersinia;Enterococcus
Yersinia	;	Enterobacter	Yersinia;Enterobacter			Yersinia;Enterobacter
Yersinia	;	Streptococcus	Yersinia;Streptococcus			Yersinia;Streptococcus
Yersinia	;	Roseomonas	Yersinia;Roseomonas			Yersinia;Roseomonas
Yersinia	;	Rhizobium	Yersinia;Rhizobium			Yersinia;Rhizobium
Yersinia	;	Rhizobacter	Yersinia;Rhizobacter			Yersinia;Rhizobacter
Yersinia	;	Mycobacterium	Yersinia;Mycobacterium			Yersinia;Mycobacterium
Yersinia	;	Blautia	Yersinia;Blautia			Yersinia;Blautia
Yersinia	;	Bacillus	Yersinia;Bacillus			Yersinia;Bacillus
Yersinia	;	Gemmobacter	Yersinia;Gemmobacter			Yersinia;Gemmobacter
Yersinia	;	Anaerolinea	Yersinia;Anaerolinea			Yersinia;Anaerolinea
Yersinia	;	Nitratireductor	Yersinia;Nitratireductor			Yersinia;Nitratireductor
Yersinia	;	Staphylococcus	Yersinia;Staphylococcus			Yersinia;Staphylococcus
Yersinia	;	Actinomyces	Yersinia;Actinomyces			Yersinia;Actinomyces
Yersinia	;	Burkholderia	Yersinia;Burkholderia			Yersinia;Burkholderia
Yersinia	;	Nakamurella	Yersinia;Nakamurella			Yersinia;Nakamurella
Yersinia	;	Lachnospira	Yersinia;Lachnospira			Yersinia;Lachnospira
Yersinia	;	Shinella	Yersinia;Shinella			Yersinia;Shinella
Yersinia	;	Arthrobacter	Yersinia;Arthrobacter			Yersinia;Arthrobacter
Yersinia	;	Paenibacillus	Yersinia;Paenibacillus			Yersinia;Paenibacillus
Yersinia	;	Ensifer	Yersinia;Ensifer			Yersinia;Ensifer
Yersinia	;	Delftia	Yersinia;Delftia			Yersinia;Delftia
Yersinia	;	Ruminiclostridium	Yersinia;Ruminiclostridium			Yersinia;Ruminiclostridium
Yersinia	;	Brevibacillus	Yersinia;Brevibacillus			Yersinia;Brevibacillus
Yersinia	;	Desulfobacter	Yersinia;Desulfobacter			Yersinia;Desulfobacter
Yersinia	;	Xanthomonas	Yersinia;Xanthomonas			Yersinia;Xanthomonas
Yersinia	;	Leucobacter	Yersinia;Leucobacter			Yersinia;Leucobacter
Yersinia	;	Microbacter	Yersinia;Microbacter			Yersinia;Microbacter
Yersinia	;	Rhodopirellula	Yersinia;Rhodopirellula			Yersinia;Rhodopirellula
Yersinia	;	Veillonella	Yersinia;Veillonella			Yersinia;Veillonella
Yersinia	;	Leptospira	Yersinia;Leptospira			Yersinia;Leptospira
Yersinia	;	Mesorhizobium	Yersinia;Mesorhizobium			Yersinia;Mesorhizobium
Yersinia	;	Ochrobactrum	Yersinia;Ochrobactrum			Yersinia;Ochrobactrum
Yersinia	;	Pedosphaera	Yersinia;Pedosphaera			Yersinia;Pedosphaera
Yersinia	;	Georgenia	Yersinia;Georgenia			Yersinia;Georgenia
Yersinia	;	Rubrobacter	Yersinia;Rubrobacter			Yersinia;Rubrobacter
Yersinia	;	Methylobacter	Yersinia;Methylobacter			Yersinia;Methylobacter
Yersinia	;	Microbacterium	Yersinia;Microbacterium			Yersinia;Microbacterium
Yersinia	;	Treponema	Yersinia;Treponema			Yersinia;Treponema
Yersinia	;	Streptomyces	Yersinia;Streptomyces			Yersinia;Streptomyces
Yersinia	;	Candidatus Caldatribacterium	Yersinia;Candidatus Caldatribacterium			Yersinia;Candidatus Caldatribacterium
Yersinia	;	Eubacterium	Yersinia;Eubacterium			Yersinia;Eubacterium
Yersinia	;	Acetobacter	Yersinia;Acetobacter			Yersinia;Acetobacter
Yersinia	;	Kaistia	Yersinia;Kaistia			Yersinia;Kaistia
Yersinia	;	Cohaesibacter	Yersinia;Cohaesibacter			Yersinia;Cohaesibacter
Yersinia	;	Pseudonocardia	Yersinia;Pseudonocardia			Yersinia;Pseudonocardia
Yersinia	;	Oxalobacter	Yersinia;Oxalobacter			Yersinia;Oxalobacter
Yersinia	;	Thioclava	Yersinia;Thioclava			Yersinia;Thioclava
Yersinia	;	Atopobium	Yersinia;Atopobium			Yersinia;Atopobium
Yersinia	;	Oscillibacter	Yersinia;Oscillibacter			Yersinia;Oscillibacter
Yersinia	;	Tessaracoccus	Yersinia;Tessaracoccus			Yersinia;Tessaracoccus
Yersinia	;	Providencia	Yersinia;Providencia			Yersinia;Providencia
Yersinia	;	Olsenella	Yersinia;Olsenella			Yersinia;Olsenella
Yersinia	;	Sphaerochaeta	Yersinia;Sphaerochaeta			Yersinia;Sphaerochaeta
Yersinia	;	Acidiphilium	Yersinia;Acidiphilium			Yersinia;Acidiphilium
Yersinia	;	Starkeya	Yersinia;Starkeya			Yersinia;Starkeya
Yersinia	;	Phyllobacterium	Yersinia;Phyllobacterium			Yersinia;Phyllobacterium
Yersinia	;	Vibrio	Yersinia;Vibrio			Yersinia;Vibrio
Yersinia	;	Hungatella	Yersinia;Hungatella			Yersinia;Hungatella
Yersinia	;	Leifsonia	Yersinia;Leifsonia			Yersinia;Leifsonia
Yersinia	;	Micromonospora	Yersinia;Micromonospora			Yersinia;Micromonospora
Yersinia	;	Truepera	Yersinia;Truepera			Yersinia;Truepera
Yersinia	;	Aureimonas	Yersinia;Aureimonas			Yersinia;Aureimonas
Yersinia	;	Gluconacetobacter	Yersinia;Gluconacetobacter			Yersinia;Gluconacetobacter
Yersinia	;	Oscillospira	Yersinia;Oscillospira			Yersinia;Oscillospira
Yersinia	;	Tabrizicola	Yersinia;Tabrizicola			Yersinia;Tabrizicola
Yersinia	;	Pantoea	Yersinia;Pantoea			Yersinia;Pantoea
Yersinia	;	Kiloniella	Yersinia;Kiloniella			Yersinia;Kiloniella
Yersinia	;	Caldilinea	Yersinia;Caldilinea			Yersinia;Caldilinea
Yersinia	;	Euzebya	Yersinia;Euzebya			Yersinia;Euzebya
Yersinia	;	Brachybacterium	Yersinia;Brachybacterium			Yersinia;Brachybacterium
Yersinia	;	Pelomonas	Yersinia;Pelomonas			Yersinia;Pelomonas
Yersinia	;	Nonomuraea	Yersinia;Nonomuraea			Yersinia;Nonomuraea
Yersinia	;	Sulfobacillus	Yersinia;Sulfobacillus			Yersinia;Sulfobacillus
Yersinia	;	Virgibacillus	Yersinia;Virgibacillus			Yersinia;Virgibacillus
Yersinia	;	Amycolatopsis	Yersinia;Amycolatopsis			Yersinia;Amycolatopsis
Yersinia	;	Ktedonobacter	Yersinia;Ktedonobacter			Yersinia;Ktedonobacter
Yersinia	;	Serratia	Yersinia;Serratia			Yersinia;Serratia
Yersinia	;	Salmonella	Yersinia;Salmonella			Yersinia;Salmonella
Yersinia	;	Grimontia	Yersinia;Grimontia			Yersinia;Grimontia
Yersinia	;	Labrenzia	Yersinia;Labrenzia			Yersinia;Labrenzia
Yersinia	;	Verminephrobacter	Yersinia;Verminephrobacter			Yersinia;Verminephrobacter
Yersinia	;	Paucibacter	Yersinia;Paucibacter			Yersinia;Paucibacter
Yersinia	;	Actinomadura	Yersinia;Actinomadura			Yersinia;Actinomadura
Yersinia	;	Butyrivibrio	Yersinia;Butyrivibrio			Yersinia;Butyrivibrio
Yersinia	;	Phycisphaera	Yersinia;Phycisphaera			Yersinia;Phycisphaera
Yersinia	;	Sporichthya	Yersinia;Sporichthya			Yersinia;Sporichthya
Yersinia	;	Pandoraea	Yersinia;Pandoraea			Yersinia;Pandoraea
