from	to
Yersinia	Syntrophus
Yersinia	Bacteroides
Yersinia	Acinetobacter
Yersinia	Flavobacterium
Yersinia	Aeromonas
Yersinia	Hyphomicrobium
Yersinia	Desulfovibrio
Yersinia	Faecalibacterium
Yersinia	Pseudomonas
Yersinia	Rhodobacter
Yersinia	Variovorax
Yersinia	Gemmata
Yersinia	Candidatus Accumulibacter
Yersinia	Acidovorax
Yersinia	Xylophilus
Yersinia	Bryobacter
Yersinia	Streptococcus
Yersinia	Roseomonas
Yersinia	Acidocella
Yersinia	Stenotrophomonas
Yersinia	Blautia
Yersinia	Anaerostipes
Yersinia	Anaerolinea
Yersinia	Fusicatenibacter
Yersinia	Rickettsia
Yersinia	Pseudoxanthomonas
Yersinia	Burkholderia
Yersinia	Achromobacter
Yersinia	Lysobacter
Yersinia	Brevundimonas
Yersinia	Lachnospira
Yersinia	Defluviimonas
Yersinia	Curvibacter
Yersinia	Collinsella
Yersinia	Methylobacterium
Yersinia	Paenibacillus
Yersinia	Limnohabitans
Yersinia	Cupriavidus
Yersinia	Ensifer
Yersinia	Delftia
Yersinia	Janthinobacterium
Yersinia	Parabacteroides
Yersinia	Roseburia
Yersinia	Geobacter
Yersinia	Xanthomonas
Yersinia	Rhodopirellula
Yersinia	Chromobacterium
Yersinia	Syntrophorhabdus
Yersinia	Luteibacter
Yersinia	Luteimonas
Yersinia	Methylobacter
Yersinia	Sporomusa
Yersinia	Eubacterium
Yersinia	Kaistia
Yersinia	Dyella
Yersinia	Sphingobacterium
Yersinia	Oxalobacter
Yersinia	Azospirillum
Yersinia	Ralstonia
Yersinia	Magnetospirillum
Yersinia	Starkeya
Yersinia	Microcystis
Yersinia	Gallionella
Yersinia	Microcoleus
Yersinia	Vibrio
Yersinia	Arenibacter
Yersinia	Sulfitobacter
Yersinia	Aequorivita
Yersinia	Desulfosporosinus
Yersinia	Methyloglobulus
Yersinia	Marinobacter
Yersinia	Virgibacillus
Yersinia	Sphingorhabdus
Yersinia	Methylophaga
Yersinia	Grimontia
Yersinia	Labrenzia
Yersinia	Pseudoalteromonas
Yersinia	Phycisphaera
Yersinia	Pandoraea
Yersinia	Prochlorococcus
Yersinia	Robinsoniella
Yersinia	Planctomyces
Yersinia	Dorea
Yersinia	Candidatus Latescibacter
Yersinia	Tepidimonas
Yersinia	Sporotomaculum
Yersinia	Rubripirellula
Yersinia	Pelotomaculum
Yersinia	Oxobacter
Yersinia	Marinobacterium
Yersinia	Eisenbergiella
Xanthomonas	Syntrophus
Xanthomonas	Bacteroides
Xanthomonas	Acinetobacter
Xanthomonas	Flavobacterium
Xanthomonas	Aeromonas
Xanthomonas	Hyphomicrobium
Xanthomonas	Desulfovibrio
Xanthomonas	Faecalibacterium
Xanthomonas	Pseudomonas
Xanthomonas	Rhodobacter
Xanthomonas	Variovorax
Xanthomonas	Gemmata
Xanthomonas	Candidatus Accumulibacter
Xanthomonas	Acidovorax
Xanthomonas	Xylophilus
Xanthomonas	Bryobacter
Xanthomonas	Streptococcus
Xanthomonas	Roseomonas
Xanthomonas	Acidocella
Xanthomonas	Stenotrophomonas
Xanthomonas	Blautia
Xanthomonas	Anaerostipes
Xanthomonas	Anaerolinea
Xanthomonas	Fusicatenibacter
Xanthomonas	Rickettsia
Xanthomonas	Pseudoxanthomonas
Xanthomonas	Burkholderia
Xanthomonas	Achromobacter
Xanthomonas	Lysobacter
Xanthomonas	Brevundimonas
Xanthomonas	Lachnospira
Xanthomonas	Defluviimonas
Xanthomonas	Curvibacter
Xanthomonas	Collinsella
Xanthomonas	Methylobacterium
Xanthomonas	Paenibacillus
Xanthomonas	Limnohabitans
Xanthomonas	Cupriavidus
Xanthomonas	Ensifer
Xanthomonas	Delftia
Xanthomonas	Janthinobacterium
Xanthomonas	Parabacteroides
Xanthomonas	Roseburia
Xanthomonas	Geobacter
Xanthomonas	Rhodopirellula
Xanthomonas	Chromobacterium
Xanthomonas	Syntrophorhabdus
Xanthomonas	Luteibacter
Xanthomonas	Luteimonas
Xanthomonas	Methylobacter
Xanthomonas	Sporomusa
Xanthomonas	Eubacterium
Xanthomonas	Kaistia
Xanthomonas	Dyella
Xanthomonas	Sphingobacterium
Xanthomonas	Oxalobacter
Xanthomonas	Azospirillum
Xanthomonas	Ralstonia
Xanthomonas	Magnetospirillum
Xanthomonas	Starkeya
Xanthomonas	Microcystis
Xanthomonas	Gallionella
Xanthomonas	Microcoleus
Xanthomonas	Vibrio
Xanthomonas	Arenibacter
Xanthomonas	Sulfitobacter
Xanthomonas	Aequorivita
Xanthomonas	Desulfosporosinus
Xanthomonas	Methyloglobulus
Xanthomonas	Marinobacter
Xanthomonas	Virgibacillus
Xanthomonas	Sphingorhabdus
Xanthomonas	Methylophaga
Xanthomonas	Grimontia
Xanthomonas	Labrenzia
Xanthomonas	Pseudoalteromonas
Xanthomonas	Phycisphaera
Xanthomonas	Pandoraea
Xanthomonas	Prochlorococcus
Xanthomonas	Robinsoniella
Xanthomonas	Planctomyces
Xanthomonas	Dorea
Xanthomonas	Candidatus Latescibacter
Xanthomonas	Tepidimonas
Xanthomonas	Sporotomaculum
Xanthomonas	Rubripirellula
Xanthomonas	Pelotomaculum
Xanthomonas	Oxobacter
Xanthomonas	Marinobacterium
Xanthomonas	Eisenbergiella
Vibrio	Syntrophus
Vibrio	Bacteroides
Vibrio	Acinetobacter
Vibrio	Flavobacterium
Vibrio	Aeromonas
Vibrio	Hyphomicrobium
Vibrio	Desulfovibrio
Vibrio	Faecalibacterium
Vibrio	Pseudomonas
Vibrio	Rhodobacter
Vibrio	Variovorax
Vibrio	Gemmata
Vibrio	Candidatus Accumulibacter
Vibrio	Acidovorax
Vibrio	Xylophilus
Vibrio	Bryobacter
Vibrio	Streptococcus
Vibrio	Roseomonas
Vibrio	Acidocella
Vibrio	Stenotrophomonas
Vibrio	Blautia
Vibrio	Anaerostipes
Vibrio	Anaerolinea
Vibrio	Fusicatenibacter
Vibrio	Rickettsia
Vibrio	Pseudoxanthomonas
Vibrio	Burkholderia
Vibrio	Achromobacter
Vibrio	Lysobacter
Vibrio	Brevundimonas
Vibrio	Lachnospira
Vibrio	Defluviimonas
Vibrio	Curvibacter
Vibrio	Collinsella
Vibrio	Methylobacterium
Vibrio	Paenibacillus
Vibrio	Limnohabitans
Vibrio	Cupriavidus
Vibrio	Ensifer
Vibrio	Delftia
Vibrio	Janthinobacterium
Vibrio	Parabacteroides
Vibrio	Roseburia
Vibrio	Geobacter
Vibrio	Rhodopirellula
Vibrio	Chromobacterium
Vibrio	Syntrophorhabdus
Vibrio	Luteibacter
Vibrio	Luteimonas
Vibrio	Methylobacter
Vibrio	Sporomusa
Vibrio	Eubacterium
Vibrio	Kaistia
Vibrio	Dyella
Vibrio	Sphingobacterium
Vibrio	Oxalobacter
Vibrio	Azospirillum
Vibrio	Ralstonia
Vibrio	Magnetospirillum
Vibrio	Starkeya
Vibrio	Microcystis
Vibrio	Gallionella
Vibrio	Microcoleus
Vibrio	Arenibacter
Vibrio	Sulfitobacter
Vibrio	Aequorivita
Vibrio	Desulfosporosinus
Vibrio	Methyloglobulus
Vibrio	Marinobacter
Vibrio	Virgibacillus
Vibrio	Sphingorhabdus
Vibrio	Methylophaga
Vibrio	Grimontia
Vibrio	Labrenzia
