AHLs	DSF	AI-2
0.00253	0.67454	0.00253
0.58853	0.01771	0.99578
0.99578	0.99578	0.99916
0.9882	0.98651	0.99578
0.99494	0.15093	0.99494
0.99916	0.98988	0.99831
0.99578	0.94098	0.55059
0.99073	0.07589	0.62479
0.99494	0.99916	0.57167
0.90894	0.16105	0.88111
0.98651	0.79342	0.82546
0.99747	0.15599	0.95363
0.87437	0.14418	0.83727
0.99831	0.32209	0.57673
0.99663	0.86425	0.98651
0.94182	0.14334	0.29342
0.96121	0.6602	0.53373
0.99916	0.02024	0.94098
0.98988	0.3086	0.14418
0.62479	0.00506	0.42917
0.75042	0.00253	0.77066
0.9747	0.00337	0.44182
0.98988	0.99831	0.4258
0.88111	0.94182	0.3575
0.81282	0.12985	0.65683
0.94266	0.99663	0.67538
0.99747	0.90978	0.70573
0.87943	0.01518	0.59022
0.76307	0.06071	0.41062
0.78921	0.78921	0.25379
0.90135	0.08179	0.29342
0.85666	0.65683	0.1172
0.95363		0.33137
0.77403		0.21669
0.57673		0.21332
0.99578		0.36931
0.95616		0.02361
0.50675		0.01349
0.98651		0.08179
0.74958		0.01012
0.8887		0.17201
0.96796		0.05987
0.57504		0.02867
0.53373		0.01265
0.94604		0.00169
0.94098		0.00337
0.82715		0.01265
0.61973		0.01349
0.86425		8.43E-04
0.74452		0.00422
0.14418		8.43E-04
0.80101		0.25717
0.42664		0.72513
0.42917		0.02698
0.6602		0.00337
0.42664		0.00337
0.49663		0.15599
0.84739		0.75126
0.72344		0.0059
0.78331		
0.07589		
0.21838		
0.08347		
0.20742		
0.3575		
0.65683		
0.69899		
0.07167		
0.39376		
0.17201		
0.10877		
0.18212		
0.22091		
0.10624		
0.60708		
0.52445		
0.24283		
0.11973		
0.32546		
0.22766		
0.33137		
0.32209		
0.14334		
0.29342		
0.1172		
0.33137		
0.21669		
0.15599		
0.11467		
0.07167		
0.3086		
0.01686		
0.15093		
0.07251		
0.03794		
0.15093		
0.12985		
0.16442		
0.11889		
0.10371		
0.09781		
0.04216		
0.05228		
0.05818		
0.06071		
0.22934		
0.38533		
0.13997		
0.16105		
0.08179		
0.0253		
0.0312		
0.06577		
0.01096		
0.05143		
0.01602		
0.00843		
0.00843		
0.02614		
0.00337		
0.06408		
0.02867		
0.00253		
0.19224		
0.03541		
0.00422		
0.00422		
0.01686		
0.00927		
0.02108		
0.02361		
0.0059		
0.00337		
0.01265		
0.01265		
0.01349		
0.00337		
0.00253		
0.00337		
0.00253		
0.00506		
0.00422		
8.43E-04		
0.00169		
8.43E-04		
0.00337		
