AHLs	DSF	AI-2
7.00479	2.43389	7.00479
4.06004	2.85916	2.56907
2.56907	1.91687	2.34946
2.42992	2.76564	2.85916
2.41032	2.67067	2.97312
2.34946	3.45436	1.91687
2.85916	3.61668	4.25748
2.71488	3.01933	3.25839
2.97312	3.33564	3.39721
2.69234	3.27195	2.88907
3.11624	3.81786	3.01404
2.803	3.72348	2.55552
3.00279	4.6403	3.31244
1.91687	3.55846	3.7954
2.76564	5.02435	3.01933
2.88039	3.40379	4.2135
2.81432	3.96221	3.97661
2.27098	4.34779	3.27195
2.7902	4.65945	4.6403
3.25839	4.91168	4.01351
3.27243	3.78049	2.96904
2.33005	4.71362	4.30329
2.67067	4.85082	4.37101
2.88907	5.53759	4.5846
3.18958	4.81389	3.96221
3.08205	5.05249	4.00015
2.85428	5.99081	3.84084
3.00077	5.95071	3.75919
3.42568	5.38193	4.19361
3.61668	6.87985	4.60374
2.88886	7.00479	4.56632
3.79577	6.63697	4.61423
2.55552		4.26985
3.23745		4.62793
3.7954		4.34117
2.91296		4.11607
2.80841		5.48662
3.75355		6.22676
3.01933		5.05249
3.56967		6.20351
3.40729		4.9187
2.92929		5.07916
3.17112		5.59018
3.97661		6.2033
3.25188		7.18088
3.27195		6.87985
3.12956		5.93822
3.7464		5.69698
3.72348		7.48191
3.42897		6.78294
4.6403		7.48191
3.09051		4.21256
3.69685		3.28573
4.01351		5.3819
3.55846		6.87985
4.05174		6.87985
4.1236		4.85899
3.37532		2.70434
3.69295		6.40305
3.62941		
5.02435		
4.36869		
5.28346		
4.62253		
4.5846		
3.96221		
3.76232		
5.14982		
4.47837		
4.73952		
4.91174		
4.58354		
4.6353		
4.8957		
4.08872		
4.08784		
4.63407		
4.77725		
4.51565		
3.72356		
3.24561		
4.34779		
4.65945		
4.56632		
4.61423		
4.26985		
4.62793		
4.91168		
5.04446		
5.28355		
3.78049		
5.86944		
4.71362		
5.42902		
5.7417		
3.68402		
4.85082		
4.82137		
4.62922		
4.67679		
4.26457		
5.22698		
5.461		
5.57894		
5.53759		
4.02368		
3.83787		
4.70848		
4.81389		
5.05249		
5.95053		
5.69685		
5.13984		
5.97713		
5.10938		
6.15979		
6.1813		
6.40291		
5.76623		
6.44094		
5.1967		
5.59018		
6.88013		
4.24501		
5.20124		
6.70394		
6.63713		
6.15974		
6.44052		
5.95065		
5.83879		
6.40297		
6.87985		
5.80107		
5.93822		
5.69698		
6.87985		
6.78319		
6.78316		
7.00479		
6.63697		
6.78294		
7.48191		
7.18088		
7.48191		
6.87985		
